,City,Country,Date,Humidity,Cloudiness,Lat,Lng,Max Temp,Wind Speed
326,sao pedro do piaui,br,1561573589,44.0,100.0,-5.93,-42.72,89.55,5.23
329,giyon,et,1561573773,89.0,0.0,8.53,37.98,61.29,4.92
335,narasannapeta,in,1561573773,79.0,6.0,18.42,84.04,83.43,2.71
338,gopalpur,in,1561573773,55.0,99.0,25.6,86.94,91.35,7.14
341,qaanaaq,gl,1561573773,76.0,82.0,77.48,-69.36,35.37,2.26
343,upernavik,gl,1561573774,88.0,7.0,72.79,-56.15,33.75,11.95
344,azimur,ma,,,,,,,
345,sao joao da barra,br,1561573774,51.0,0.0,-21.64,-41.05,86.0,14.99
346,sitka,us,1561573774,30.0,72.0,37.17,-99.65,91.89,16.82
347,longyearbyen,sj,1561573774,65.0,75.0,78.22,15.64,44.6,12.75
350,kruisfontein,za,1561573775,94.0,96.0,-34.0,24.73,56.61,6.04
351,faanui,pf,1561573775,76.0,33.0,-16.48,-151.75,80.19,8.05
360,chengde,cn,1561573775,69.0,100.0,40.97,117.93,66.33,2.35
362,sentyabrskiy,ru,,,,,,,
363,east london,za,1561573775,93.0,40.0,-33.02,27.91,60.8,8.05
365,lazaro cardenas,mx,1561573776,27.0,20.0,28.39,-105.62,90.0,14.99
367,kazalinsk,kz,,,,,,,
372,howard,us,1561573776,42.0,1.0,44.54,-88.09,84.0,10.29
374,wuning,cn,1561573776,95.0,0.0,29.26,120.23,73.0,1.68
375,sri aman,my,1561573776,94.0,82.0,1.24,111.46,78.01,1.28
376,coahuayana,mx,1561573777,59.0,25.0,18.62,-100.35,89.73,2.15
377,iqaluit,ca,1561573681,70.0,20.0,63.75,-68.52,44.6,12.75
378,tuatapere,nz,1561573777,82.0,47.0,-46.13,167.69,48.0,5.99
379,lianran,cn,1561573777,88.0,75.0,24.92,102.47,73.0,8.95
380,adamas,gr,1561573777,74.0,20.0,36.73,24.43,78.8,12.75
382,hammerfest,no,1561573777,81.0,0.0,70.66,23.68,48.2,10.29
385,petropavlovsk-kamchatskiy,ru,1561573777,100.0,75.0,53.05,158.65,44.6,8.21
387,gurupa,br,,,,,,,
389,broome,au,1561573778,93.0,88.0,-17.97,122.23,60.8,9.08
391,mont-de-marsan,fr,1561573779,44.0,0.0,43.89,-0.5,95.0,6.93
392,koyilandi,in,,,,,,,
395,gazni,af,,,,,,,
398,vesoul,fr,1561573779,34.0,0.0,47.62,6.16,98.01,3.36
